name,description,category,status,failure_reason,year,source
Global Roaming,|Telecommunications|Mobile|,|Telecommunications|Mobile|,failed,,2006-08-01,investments_vc
GlobalCrypto,|Security|Software|,|Security|Software|,failed,,2006-06-01,investments_vc
GlobalPrint Systems,|Printing|Hardware + Software|,|Printing|Hardware + Software|,failed,,2005-01-01,investments_vc
Globel Direct,|Public Relations|,|Public Relations|,failed,,1969-01-01,investments_vc
GlocalReach,|Messaging|,|Messaging|,failed,,2007-01-01,investments_vc
Glomera,|Online Scheduling|Internet TV|Television|Software|,|Online Scheduling|Internet TV|Television|Software|,failed,,,investments_vc
Glycominds,|Biotechnology|,|Biotechnology|,failed,,,investments_vc
Gnodal,|Systems|Infrastructure|Design|Web Hosting|,|Systems|Infrastructure|Design|Web Hosting|,failed,,2007-03-09,investments_vc
GoingOn,|Social Media|Enterprises|Networking|Software|,|Social Media|Enterprises|Networking|Software|,failed,,2008-02-01,investments_vc
GoIP International,|Messaging|,|Messaging|,failed,,,investments_vc
GoNogging,|E-Commerce|,|E-Commerce|,failed,,2007-01-01,investments_vc
Good Health Media,|Advertising|,|Advertising|,failed,,,investments_vc
Good Works Now,|Nonprofits|SaaS|Startups|E-Commerce|,|Nonprofits|SaaS|Startups|E-Commerce|,failed,,2011-01-01,investments_vc
GoodClic,|Mobile Payments|Mobile Commerce|Web Development|Apps|Mobile|,|Mobile Payments|Mobile Commerce|Web Development|Apps|Mobile|,failed,,2010-05-10,investments_vc
Goodmail Systems,|Email Marketing|Email|Messaging|,|Email Marketing|Email|Messaging|,failed,,2003-01-01,investments_vc
Goojet,|Media|Internet|Mobile|Social Media|,|Media|Internet|Mobile|Social Media|,failed,,2006-12-01,investments_vc
Goozzy,|Facebook Applications|Twitter Applications|Social Media|MicroBlogging|Curated Web|,|Facebook Applications|Twitter Applications|Social Media|MicroBlogging|Curated Web|,failed,,2009-11-01,investments_vc
gopogo,|Social Commerce|Social Media|,|Social Commerce|Social Media|,failed,,2009-11-17,investments_vc
GotaCopy,|Enterprise Software|,|Enterprise Software|,failed,,,investments_vc
GoYoDeo,|File Sharing|Publishing|Document Management|Photography|Video|Games|,|File Sharing|Publishing|Document Management|Photography|Video|Games|,failed,,2007-08-07,investments_vc
GPal,|E-Commerce|,|E-Commerce|,failed,,2009-11-03,investments_vc
GrantAdler,|Health Care|,|Health Care|,failed,,,investments_vc
GreenFuel,|Clean Technology|,|Clean Technology|,failed,,,investments_vc
GreenGoose!,|Health and Wellness|Lifestyle|Sensors|Hardware + Software|,|Health and Wellness|Lifestyle|Sensors|Hardware + Software|,failed,,2010-01-01,investments_vc
GreenLight,|Networking|Social Search|Social Media|,|Networking|Social Search|Social Media|,failed,,2011-07-20,investments_vc
GreenVolts,|Clean Technology|,|Clean Technology|,failed,,2005-01-01,investments_vc
Grey Area,|Mobile Games|Games|,|Mobile Games|Games|,failed,,2009-01-01,investments_vc
Gridcentric,|Virtualization|Software|,|Virtualization|Software|,failed,,2009-06-01,investments_vc
GridNetworks,|Peer-to-Peer|Video Streaming|Content Delivery|Games|,|Peer-to-Peer|Video Streaming|Content Delivery|Games|,failed,,2004-01-01,investments_vc
Grocio,|Comparison Shopping|Coupons|Groceries|Curated Web|,|Comparison Shopping|Coupons|Groceries|Curated Web|,failed,,2007-06-01,investments_vc
Ground Zero Group Corporation,|Web Development|Web Hosting|Web Design|Consulting|,|Web Development|Web Hosting|Web Design|Consulting|,failed,,2009-05-25,investments_vc
Grouply,|Social Network Media|Software|,|Social Network Media|Software|,failed,,2006-03-01,investments_vc
Groupoff,|E-Commerce|,|E-Commerce|,failed,,2010-06-06,investments_vc
Grows Up,|Babies|Kids|Marketplaces|E-Commerce|,|Babies|Kids|Marketplaces|E-Commerce|,failed,,2010-01-01,investments_vc
Groxis,|Enterprise Software|,|Enterprise Software|,failed,,2001-01-01,investments_vc
Gruburg,|Startups|Reviews and Recommendations|Hospitality|,|Startups|Reviews and Recommendations|Hospitality|,failed,,2010-08-01,investments_vc
Gruvie,|Social Network Media|Social Media|,|Social Network Media|Social Media|,failed,,2007-01-01,investments_vc
Guangzhou Broad Vision Telecom,|Web Hosting|,|Web Hosting|,failed,,,investments_vc
Gucash,|Banking|Music|Content|Virtual Goods|Social Games|Payments|E-Commerce|,|Banking|Music|Content|Virtual Goods|Social Games|Payments|E-Commerce|,failed,,2010-01-03,investments_vc
Guerillapps,|Sustainability|Green|Mobile Games|Social Games|Games|,|Sustainability|Green|Mobile Games|Social Games|Games|,failed,,2008-05-01,investments_vc
Gullivearth,|Social Network Media|Universities|Curated Web|,|Social Network Media|Universities|Curated Web|,failed,,2009-10-28,investments_vc
Gurnard Perch Sophisticated Technologies,|Curated Web|,|Curated Web|,failed,,2011-01-01,investments_vc
Gyst,|Local|Internet|Local Search|Mobile|Search|,|Local|Internet|Local Search|Mobile|Search|,failed,,2010-06-01,investments_vc
H2i Technologies,|Hardware + Software|,|Hardware + Software|,failed,,,investments_vc
Hallway Social Learning Network,|Social Media|,|Social Media|,failed,,,investments_vc
HAM-IT,|Advertising|Enterprise Software|,|Advertising|Enterprise Software|,failed,,2008-01-07,investments_vc
Hammerhead Systems,|Web Hosting|,|Web Hosting|,failed,,2002-01-01,investments_vc
HammerKit,|Web Presence Management|Services|Curated Web|,|Web Presence Management|Services|Curated Web|,failed,,2006-11-30,investments_vc
Hana Biosciences,|Biotechnology|,|Biotechnology|,failed,,,investments_vc
handsomexcutive,|iPhone|Fashion|E-Commerce|,|iPhone|Fashion|E-Commerce|,failed,,2011-01-01,investments_vc
Happyshop,|Online Reservations|Sales and Marketing|Mobile Commerce|Discounts|Coupons|Location Based Services|E-Commerce|Apps|Shopping|QR Codes|App Marketing|Retail|Mobile|,|Online Reservations|Sales and Marketing|Mobile Commerce|Discounts|Coupons|Location Based Services|E-Commerce|Apps|Shopping|QR Codes|App Marketing|Retail|Mobile|,failed,,2010-11-01,investments_vc
Harbinger Medical,|Health Care|,|Health Care|,failed,,1993-01-01,investments_vc
Hart InterCivic,|Hardware + Software|,|Hardware + Software|,failed,,,investments_vc
Hashable,|Contact Management|Networking|Mobile|,|Contact Management|Networking|Mobile|,failed,,2010-01-01,investments_vc
HashTip,|Social Media|Reviews and Recommendations|Mobile|Social Commerce|Curated Web|,|Social Media|Reviews and Recommendations|Mobile|Social Commerce|Curated Web|,failed,,2012-03-12,investments_vc
HazelMail,|Curated Web|,|Curated Web|,failed,,2012-01-01,investments_vc
Healogica,|Clinical Trials|Curated Web|,|Clinical Trials|Curated Web|,failed,,2007-10-30,investments_vc
Health Impact Solutions,|Health and Wellness|,|Health and Wellness|,failed,,,investments_vc
Health Informatics,|Health and Wellness|,|Health and Wellness|,failed,,,investments_vc
HealthLok,|Electronic Health Records|Health Care|Health and Wellness|,|Electronic Health Records|Health Care|Health and Wellness|,failed,,2008-10-01,investments_vc
Healthrageous,|Hardware + Software|,|Hardware + Software|,failed,,2010-01-01,investments_vc
HealthRally,|Social Media|,|Social Media|,failed,,2010-03-01,investments_vc
HealthyTweet,|Health Care|Health and Wellness|Twitter Applications|Medical|Curated Web|,|Health Care|Health and Wellness|Twitter Applications|Medical|Curated Web|,failed,,2009-02-10,investments_vc
Heekya,|Facebook Applications|Photo Sharing|Video Streaming|Semantic Search|Social Media|,|Facebook Applications|Photo Sharing|Video Streaming|Semantic Search|Social Media|,failed,,2008-05-08,investments_vc
Helicomm,|Web Hosting|,|Web Hosting|,failed,,2002-01-01,investments_vc
Helix Therapeutics,|Biotechnology|,|Biotechnology|,failed,,2006-01-01,investments_vc
HellHouse Media,|Distribution|Sales and Marketing|Internet|Entertainment|Film|Video|Media|Games|,|Distribution|Sales and Marketing|Internet|Entertainment|Film|Video|Media|Games|,failed,,2004-11-20,investments_vc
Help Me Rent Magazine,|Home & Garden|Internet|Technology|Online Rental|News|Real Estate|,|Home & Garden|Internet|Technology|Online Rental|News|Real Estate|,failed,,2010-01-01,investments_vc
HelpHive,|Reviews and Recommendations|Local|Curated Web|,|Reviews and Recommendations|Local|Curated Web|,failed,,2008-01-01,investments_vc
HelpMeRent.com,|Home & Garden|Internet|Online Rental|Social Network Media|Real Estate|,|Home & Garden|Internet|Online Rental|Social Network Media|Real Estate|,failed,,2010-10-01,investments_vc
Hematris Wound Care,|Biotechnology|,|Biotechnology|,failed,,,investments_vc
"Hey, Neighbor!",|Networking|Marketplaces|Local Based Services|File Sharing|Collaborative Consumption|Peer-to-Peer|Curated Web|,|Networking|Marketplaces|Local Based Services|File Sharing|Collaborative Consumption|Peer-to-Peer|Curated Web|,failed,,2010-01-01,investments_vc
HiBeam Internet & Voice,|Web Hosting|,|Web Hosting|,failed,,,investments_vc
High Density Networks,|Web Hosting|,|Web Hosting|,failed,,,investments_vc
hint,|Curated Web|,|Curated Web|,failed,,2010-01-01,investments_vc
Hiptype,|Publishing|Big Data|Advertising|Analytics|,|Publishing|Big Data|Advertising|Analytics|,failed,,,investments_vc
Hipui,|Location Based Services|Interface Design|User Experience Design|Mobile|,|Location Based Services|Interface Design|User Experience Design|Mobile|,failed,,2010-01-01,investments_vc
Hit Systems,|Virtualization|SaaS|Cloud Computing|Information Services|Enterprise Software|,|Virtualization|SaaS|Cloud Computing|Information Services|Enterprise Software|,failed,,2008-09-01,investments_vc
HiWiFi,|Hardware + Software|,|Hardware + Software|,failed,,2013-01-01,investments_vc
HN Discounts Corporation,|Fashion|E-Commerce|,|Fashion|E-Commerce|,failed,,2011-10-01,investments_vc
HobbyTalk,|Marketplaces|Communities|Peer-to-Peer|Curated Web|,|Marketplaces|Communities|Peer-to-Peer|Curated Web|,failed,,2008-03-06,investments_vc
Hollywood Interactive Group,|Curated Web|,|Curated Web|,failed,,,investments_vc
Honestly Now,|Advice|Parenting|Women|Mobile|Internet|Social Games|Games|,|Advice|Parenting|Women|Mobile|Internet|Social Games|Games|,failed,,2010-01-01,investments_vc
Honestly.com,|Curated Web|,|Curated Web|,failed,,,investments_vc
Hopscot.ch,|Video Chat|Messaging|,|Video Chat|Messaging|,failed,,2010-12-09,investments_vc
Hopscotch,|Apps|iPhone|Mobile|,|Apps|iPhone|Mobile|,failed,,2010-01-01,investments_vc
hopscout,|Social Commerce|E-Commerce|,|Social Commerce|E-Commerce|,failed,,2011-04-01,investments_vc
Horrance,|Social Media|,|Social Media|,failed,,2011-07-01,investments_vc
Horse Creek Entertainment,|E-Commerce|,|E-Commerce|,failed,,1989-01-01,investments_vc
Hotalot,|Journalism|News|,|Journalism|News|,failed,,2008-11-21,investments_vc
HotClickVideo,|Marketplaces|Television|Technology|Monetization|E-Commerce|Software|,|Marketplaces|Television|Technology|Monetization|E-Commerce|Software|,failed,,2009-07-01,investments_vc
Hotelicopter,|Search|Networking|Social Media|Travel|Reviews and Recommendations|Hotels|Software|Curated Web|,|Search|Networking|Social Media|Travel|Reviews and Recommendations|Hotels|Software|Curated Web|,failed,,2006-06-01,investments_vc
hotelsmap.com,|Travel|Maps|Hotels|Enterprise Software|,|Travel|Maps|Hotels|Enterprise Software|,failed,,2010-06-20,investments_vc
Hotlist,|Colleges|Events|Private Social Networking|Facebook Applications|Social Media|,|Colleges|Events|Private Social Networking|Facebook Applications|Social Media|,failed,,2008-01-01,investments_vc
Hotswap,|Cars|E-Commerce|,|Cars|E-Commerce|,failed,,,investments_vc
HourVille,|Sales and Marketing|Internet|Training|Teachers|Local Search|Search|Entertainment|Health and Wellness|Tutoring|Services|Local|Education|Online Rental|Games|,|Sales and Marketing|Internet|Training|Teachers|Local Search|Search|Entertainment|Health and Wellness|Tutoring|Services|Local|Education|Online Rental|Games|,failed,,2008-01-01,investments_vc
Hoyos Corporation,|Enterprise Software|,|Enterprise Software|,failed,,2005-01-01,investments_vc
hubbuzz.com,|Curated Web|,|Curated Web|,failed,,2007-03-01,investments_vc
HubChilla,|Messaging|,|Messaging|,failed,,,investments_vc
Hubkick,|Social Media|Productivity Software|Task Management|Software|,|Social Media|Productivity Software|Task Management|Software|,failed,,2011-01-01,investments_vc
Hubsphere,|Enterprise Software|,|Enterprise Software|,failed,,2007-06-01,investments_vc
Hug Energy,|Curated Web|,|Curated Web|,failed,,2009-11-01,investments_vc
HuJe labs,|Web Tools|Mobile|SEO|Internet Marketing|Internet|Software|,|Web Tools|Mobile|SEO|Internet Marketing|Internet|Software|,failed,,2006-01-10,investments_vc
Hukkster,|E-Commerce|Retail|Fashion|Curated Web|,|E-Commerce|Retail|Fashion|Curated Web|,failed,,2012-04-01,investments_vc
Human Network Labs,|Curated Web|,|Curated Web|,failed,,2007-01-01,investments_vc
HundredApples,|Education|,|Education|,failed,,2011-01-01,investments_vc
Hurricane Party,|Group Buying|Location Based Services|Networking|Mobile|,|Group Buying|Location Based Services|Networking|Mobile|,failed,,2010-05-01,investments_vc
hyaqu,|E-Commerce|,|E-Commerce|,failed,,2011-07-25,investments_vc
Hygeia Personal Care Products,|Parenting|Curated Web|,|Parenting|Curated Web|,failed,,2004-07-01,investments_vc
Hyphen 8,|Curated Web|,|Curated Web|,failed,,,investments_vc
Hytle,|Software|Education|Curated Web|,|Software|Education|Curated Web|,failed,,2009-04-01,investments_vc
I Am Smart Technology,|Hardware + Software|,|Hardware + Software|,failed,,2008-01-14,investments_vc
I Just Shared,|Social Media|,|Social Media|,failed,,2010-08-06,investments_vc
i'mma,|E-Commerce|,|E-Commerce|,failed,,2013-08-10,investments_vc
i-Nalysis,|Hardware + Software|,|Hardware + Software|,failed,,2008-01-01,investments_vc
i2we,|Social Media|,|Social Media|,failed,,2007-01-01,investments_vc
ibabybox,|Social Media|,|Social Media|,failed,,2013-01-01,investments_vc
iBloom Technologies,|Curated Web|,|Curated Web|,failed,,2009-05-01,investments_vc
iconDial,|Public Relations|,|Public Relations|,failed,,2008-07-01,investments_vc
ididwork,|Employment|Curated Web|,|Employment|Curated Web|,failed,,2008-08-05,investments_vc
Idooble,|Social Buying|Search|Comparison Shopping|Curated Web|,|Social Buying|Search|Comparison Shopping|Curated Web|,failed,,2009-01-01,investments_vc
IDverge,|Technology|Startups|Security|,|Technology|Startups|Security|,failed,,2010-11-01,investments_vc
IDYIA Innovations,|Web Hosting|,|Web Hosting|,failed,,1972-01-01,investments_vc
IEC Technology Co,|Public Relations|,|Public Relations|,failed,,1999-01-01,investments_vc
iexerci.se,|Fitness|Exercise|Health and Wellness|,|Fitness|Exercise|Health and Wellness|,failed,,2009-01-01,investments_vc
IGA Worldwide,|Games|Advertising|,|Games|Advertising|,failed,,2005-01-01,investments_vc
Iggli,|Social Media|,|Social Media|,failed,,2007-01-01,investments_vc
iGlue,|Semantic Search|Semantic Web|Search|,|Semantic Search|Semantic Web|Search|,failed,,2007-08-25,investments_vc
IgnitAd,|Advertising|,|Advertising|,failed,,,investments_vc
iGroup Network,|Messaging|,|Messaging|,failed,,2006-01-01,investments_vc
IIIMOBI,|Mobility|Email|Web Tools|Web Development|Web Design|Communities|Social Network Media|Advertising|,|Mobility|Email|Web Tools|Web Development|Web Design|Communities|Social Network Media|Advertising|,failed,,2009-05-01,investments_vc
iKoa,|Semiconductors|,|Semiconductors|,failed,,2006-01-01,investments_vc
Ikwa OrientaÃ§Ã£o Profissional,|All Students|Social Network Media|,|All Students|Social Network Media|,failed,,,investments_vc
Illumix Software,|Business Intelligence|Software|,|Business Intelligence|Software|,failed,,2008-04-01,investments_vc
Imagiin.,|SEO|Accounting|Direct Marketing|Advertising|,|SEO|Accounting|Direct Marketing|Advertising|,failed,,2006-02-10,investments_vc
IMScouting,|Sports|Curated Web|,|Sports|Curated Web|,failed,,2008-03-10,investments_vc
InboxFever,|Finance|Email|Messaging|,|Finance|Email|Messaging|,failed,,2011-07-01,investments_vc
Incentivyze,|Enterprise Software|,|Enterprise Software|,failed,,2013-02-01,investments_vc
Inclinix,|Biotechnology|,|Biotechnology|,failed,,1999-01-01,investments_vc
IndiaEver.com,|Classifieds|Music|,|Classifieds|Music|,failed,,2012-08-01,investments_vc
Industriaplex,|Consulting|,|Consulting|,failed,,1999-01-01,investments_vc
Inertia Beverage Group,|Wine And Spirits|Software|,|Wine And Spirits|Software|,failed,,2004-10-22,investments_vc
iNEWiT,|Hardware + Software|,|Hardware + Software|,failed,,2005-01-01,investments_vc
Infima Technologies,|Software|Web Hosting|,|Software|Web Hosting|,failed,,2006-04-24,investments_vc
Infobionics,|Social Media|,|Social Media|,failed,,2000-01-01,investments_vc
InGameNow,|Curated Web|,|Curated Web|,failed,,2008-03-01,investments_vc
Inhale Digital,|Flash Sales|Coupons|Social Buying|Retail|Facebook Applications|Gamification|Games|,|Flash Sales|Coupons|Social Buying|Retail|Facebook Applications|Gamification|Games|,failed,,2010-08-01,investments_vc
Inimex Pharmaceuticals,|Biotechnology|,|Biotechnology|,failed,,,investments_vc
INNFOCUS,|Hardware + Software|,|Hardware + Software|,failed,,,investments_vc
InPlace,|Advertising|,|Advertising|,failed,,,investments_vc
InsideAxisâ¢,|SaaS|Contact Management|Lead Generation|Software|,|SaaS|Contact Management|Lead Generation|Software|,failed,,2009-08-31,investments_vc
Inspired Technologies,|Health Care|,|Health Care|,failed,,,investments_vc
Instagarage,|Gift Card|Curated Web|,|Gift Card|Curated Web|,failed,,2007-05-07,investments_vc
InstantQ,|Advertising|,|Advertising|,failed,,2009-05-01,investments_vc
Integrity IT Solutions,|Enterprise Software|,|Enterprise Software|,failed,,,investments_vc
Intellisense,|Telecommunications|Web Hosting|Mobile|Training|Business Services|Software|,|Telecommunications|Web Hosting|Mobile|Training|Business Services|Software|,failed,,2009-01-01,investments_vc
Interactive Mobile Advertising,|Advertising|,|Advertising|,failed,,2010-01-01,investments_vc
InterMed Discovery,|Clean Technology|,|Clean Technology|,failed,,2006-01-01,investments_vc
International Battery,|Clean Technology|,|Clean Technology|,failed,,2008-01-01,investments_vc
Internet REIT,|Web Hosting|,|Web Hosting|,failed,,,investments_vc
interspireSubmit,|SEO|Advertising|,|SEO|Advertising|,failed,,2010-04-01,investments_vc
IntroBridge,|Web Tools|iPhone|Social Media|Networking|Location Based Services|Mobile|,|Web Tools|iPhone|Social Media|Networking|Location Based Services|Mobile|,failed,,2009-09-01,investments_vc
IntroFly,|Startups|Networking|Employment|Social Media|Curated Web|,|Startups|Networking|Employment|Social Media|Curated Web|,failed,,2011-06-01,investments_vc
IntroNiche,|Sales and Marketing|Advertising|,|Sales and Marketing|Advertising|,failed,,2007-12-14,investments_vc
Invicta Networks,|Public Relations|,|Public Relations|,failed,,1999-01-01,investments_vc
IonLogix Systems,|VoIP|Software|,|VoIP|Software|,failed,,2007-12-11,investments_vc
IPLSHOP Brasil,|Mobile|E-Commerce|Multi-level Marketing|Health and Wellness|,|Mobile|E-Commerce|Multi-level Marketing|Health and Wellness|,failed,,2013-08-01,investments_vc
iPractice Group,|Biotechnology|,|Biotechnology|,failed,,2009-01-01,investments_vc
IRL Connect,|Social Network Media|Software|Location Based Services|Social Media|,|Social Network Media|Software|Location Based Services|Social Media|,failed,,2008-04-09,investments_vc
IronCurtain Entertainment,|FreetoPlay Gaming|Game|Business Services|Games|,|FreetoPlay Gaming|Game|Business Services|Games|,failed,,2010-01-01,investments_vc
Isis Biopolymer,|Biotechnology|,|Biotechnology|,failed,,,investments_vc
iSites,|Hardware + Software|,|Hardware + Software|,failed,,,investments_vc
ISpottedYou.com,|Curated Web|,|Curated Web|,failed,,,investments_vc
iSquare,|Online Rental|Software|,|Online Rental|Software|,failed,,2007-09-02,investments_vc
iSyndica,|Enterprise Software|,|Enterprise Software|,failed,,2009-01-08,investments_vc
iTaggit,|Intellectual Asset Management|Curated Web|,|Intellectual Asset Management|Curated Web|,failed,,,investments_vc
"ITOG, Inc.",|Reviews and Recommendations|Opinions|Social Network Media|Networking|Web Hosting|,|Reviews and Recommendations|Opinions|Social Network Media|Networking|Web Hosting|,failed,,2006-09-19,investments_vc
itzbig,|Search|Employment|Consulting|,|Search|Employment|Consulting|,failed,,2006-06-01,investments_vc
iWeebo,|Retail|Social Media|Social Buying|Browser Extensions|E-Commerce|Telecommunications|Shopping|Curated Web|,|Retail|Social Media|Social Buying|Browser Extensions|E-Commerce|Telecommunications|Shopping|Curated Web|,failed,,2011-07-01,investments_vc
IWT,|Photography|,|Photography|,failed,,2008-01-01,investments_vc
iZ3D,|Hardware + Software|,|Hardware + Software|,failed,,2007-01-01,investments_vc
J&J Solutions,|Biotechnology|,|Biotechnology|,failed,,2008-01-01,investments_vc
JackPot Rewards,|Gambling|Curated Web|,|Gambling|Curated Web|,failed,,2008-01-01,investments_vc
JacobAd Pte. Ltd.,|Loyalty Programs|Online Shopping|Travel|Coupons|Lifestyle|Curated Web|,|Loyalty Programs|Online Shopping|Travel|Coupons|Lifestyle|Curated Web|,failed,,,investments_vc
Jangl SMS,|Email|Audio|Messaging|,|Email|Audio|Messaging|,failed,,2005-03-01,investments_vc
JavaJobs,|Enterprises|Software|,|Enterprises|Software|,failed,,1997-01-01,investments_vc
JazzD Markets,|Messaging|,|Messaging|,failed,,,investments_vc
JellyCloud,|Analytics|Advertising|,|Analytics|Advertising|,failed,,,investments_vc
JeNaCell,|Nanotechnology|,|Nanotechnology|,failed,,,investments_vc
JinggaMall.com,|Online Shopping|E-Commerce|,|Online Shopping|E-Commerce|,failed,,2012-11-10,investments_vc
Jini,|Sensors|Big Data|Android|Mobile|,|Sensors|Big Data|Android|Mobile|,failed,,2011-01-01,investments_vc
JinkoSolar Holding,|Clean Technology|,|Clean Technology|,failed,,2006-01-01,investments_vc
JobSyndicate,|Recruiting|Consulting|,|Recruiting|Consulting|,failed,,,investments_vc
Jobulous,|Human Resources|Office Space|Career Management|Employment|Consulting|,|Human Resources|Office Space|Career Management|Employment|Consulting|,failed,,2008-07-10,investments_vc
Jobzle,|Career Management|College Campuses|Human Resources|All Students|Colleges|Employment|,|Career Management|College Campuses|Human Resources|All Students|Colleges|Employment|,failed,,2010-06-01,investments_vc
Jodange,|Curated Web|,|Curated Web|,failed,,2007-01-01,investments_vc
Join The Company,|Curated Web|,|Curated Web|,failed,,2010-01-01,investments_vc
Jooce,|WebOS|Curated Web|,|WebOS|Curated Web|,failed,,,investments_vc
Joongel,|Browser Extensions|Search|,|Browser Extensions|Search|,failed,,2007-01-01,investments_vc
Jotky,|Media|Social Media|,|Media|Social Media|,failed,,2010-10-10,investments_vc
Jotvine.com,|Social Media|,|Social Media|,failed,,2011-03-11,investments_vc
Journeys,|Travel|Virtual Worlds|Curated Web|,|Travel|Virtual Worlds|Curated Web|,failed,,2007-05-01,investments_vc
JOYRIDE Auto Community,|Social Commerce|Social Network Media|Automotive|Social Media|,|Social Commerce|Social Network Media|Automotive|Social Media|,failed,,2009-10-30,investments_vc
Jubilater Interactive Media,|Curated Web|,|Curated Web|,failed,,2010-12-01,investments_vc
Jumper Networks,|Web Development|Social Bookmarking|SEO|Knowledge Management|Collaboration|Search|Software|,|Web Development|Social Bookmarking|SEO|Knowledge Management|Collaboration|Search|Software|,failed,,2008-01-05,investments_vc
JumpTheClub,|Startups|Augmented Reality|Music|Software|Apps|Nightlife|Mobile|,|Startups|Augmented Reality|Music|Software|Apps|Nightlife|Mobile|,failed,,2010-07-01,investments_vc
Just around Us,|Music|Sports|Location Based Services|Networking|Social Media|,|Music|Sports|Location Based Services|Networking|Social Media|,failed,,2011-07-01,investments_vc
Kadoink,|Music|Audio|SMS|Web Tools|Mobile|,|Music|Audio|SMS|Web Tools|Mobile|,failed,,,investments_vc
Kahub,|Social Media|News|,|Social Media|News|,failed,,2011-02-10,investments_vc
Kappa Prime,|Collaboration|Life Sciences|Curated Web|,|Collaboration|Life Sciences|Curated Web|,failed,,2008-02-01,investments_vc
Kardia Health Systems,|Health Care|SaaS|Information Technology|Software|,|Health Care|SaaS|Information Technology|Software|,failed,,2006-01-01,investments_vc
Karo Internet,|Online Gaming|Social Network Media|Social Media|,|Online Gaming|Social Network Media|Social Media|,failed,,2007-04-01,investments_vc
Kaskado,|Promotional|Coupons|Mobile|,|Promotional|Coupons|Mobile|,failed,,2008-01-01,investments_vc
Kazaana,|Networking|Web Development|Social Media|Mobile|,|Networking|Web Development|Social Media|Mobile|,failed,,2010-01-01,investments_vc
KB Labs,|Facebook Applications|Finance|Curated Web|,|Facebook Applications|Finance|Curated Web|,failed,,,investments_vc
Keenko,|Public Relations|,|Public Relations|,failed,,,investments_vc
KeepFu,|Curated Web|,|Curated Web|,failed,,,investments_vc
Keepio,|Facebook Applications|Twitter Applications|Craigslist Killers|E-Commerce|Peer-to-Peer|Social Commerce|Curated Web|,|Facebook Applications|Twitter Applications|Craigslist Killers|E-Commerce|Peer-to-Peer|Social Commerce|Curated Web|,failed,,2010-02-01,investments_vc
Keisense,|Hardware + Software|,|Hardware + Software|,failed,,,investments_vc
Keldeal,|Twitter Applications|Facebook Applications|Business Services|Social Media|Curated Web|,|Twitter Applications|Facebook Applications|Business Services|Social Media|Curated Web|,failed,,2010-10-06,investments_vc
Kera,|Tutoring|Gamification|Enterprises|SaaS|Software|,|Tutoring|Gamification|Enterprises|SaaS|Software|,failed,,2012-01-01,investments_vc
KeyNeurotek Pharmaceuticals,|Biotechnology|,|Biotechnology|,failed,,,investments_vc
Keystone Technology,|Hardware + Software|,|Hardware + Software|,failed,,2006-08-28,investments_vc
Kickfire,|Analytics|,|Analytics|,failed,,2006-01-01,investments_vc
Kid Care Years,|Curated Web|,|Curated Web|,failed,,2008-05-01,investments_vc
kidthing,|Publishing|Video|E-Commerce|Entertainment|Internet|Education|Kids|Games|,|Publishing|Video|E-Commerce|Entertainment|Internet|Education|Kids|Games|,failed,,2005-12-01,investments_vc
Kiha Software,|Neuroscience|Natural Language Processing|Cloud Data Services|iPhone|Android|Mobile|Software|,|Neuroscience|Natural Language Processing|Cloud Data Services|iPhone|Android|Mobile|Software|,failed,,2008-01-01,investments_vc
Kinetic Global Markets,|Analytics|,|Analytics|,failed,,,investments_vc
kinkon,|Curated Web|,|Curated Web|,failed,,2008-09-04,investments_vc
Kinopto,|Hardware + Software|,|Hardware + Software|,failed,,,investments_vc
Kirkland North,|Colleges|Risk Management|Games|,|Colleges|Risk Management|Games|,failed,,,investments_vc
Kite,|Education|,|Education|,failed,,2012-01-03,investments_vc
Klatcher,|Tutoring|Content|Curated Web|,|Tutoring|Content|Curated Web|,failed,,2008-07-10,investments_vc
KlickSports,|Mobile Games|Sports|Networking|Internet|Mobile|,|Mobile Games|Sports|Networking|Internet|Mobile|,failed,,2006-01-01,investments_vc
Kliqed,|Mobile|Networking|Social Media|,|Mobile|Networking|Social Media|,failed,,2011-02-18,investments_vc
Klosetshop,|Retail|Fashion|Databases|Social Network Media|Auctions|E-Commerce|,|Retail|Fashion|Databases|Social Network Media|Auctions|E-Commerce|,failed,,2011-05-15,investments_vc
Knetwit Inc.,|Education|Curated Web|,|Education|Curated Web|,failed,,2007-06-26,investments_vc
KnockaTV,|Content|Video|Television|Games|,|Content|Video|Television|Games|,failed,,2007-08-01,investments_vc
KnowNow,|Information Services|Curated Web|,|Information Services|Curated Web|,failed,,2000-01-01,investments_vc
Koala Databank,|Archiving|Storage|Hardware|Document Management|Web Hosting|,|Archiving|Storage|Hardware|Document Management|Web Hosting|,failed,,2006-01-01,investments_vc
KoalaDeal,|Personalization|E-Commerce|,|Personalization|E-Commerce|,failed,,2011-04-01,investments_vc
KODA,|Curated Web|,|Curated Web|,failed,,2008-01-01,investments_vc
Kolorific,|Semiconductors|,|Semiconductors|,failed,,2003-01-01,investments_vc
Konarka Technologies,|Clean Technology|,|Clean Technology|,failed,,2001-01-01,investments_vc
Krikle,|Art|Mobile|Entertainment|Apps|Games|,|Art|Mobile|Entertainment|Apps|Games|,failed,,2011-03-05,investments_vc
