name,description,category,status,failure_reason,year,source
Ante Up,Android|Apps|iPhone|Mobile|Real Time|Sports,Android|Apps|iPhone|Mobile|Real Time|Sports,failed,,2011-09-10,crunchbase
Anterra Energy,Clean Technology,Clean Technology,failed,,2001-01-01,crunchbase
Antesy,Application Platforms|Events|Fantasy Sports,Application Platforms|Events|Fantasy Sports,failed,,2015-06-09,crunchbase
Anthem Healthcare Intelligence,Health Care,Health Care,failed,,2004-01-01,crunchbase
Anthillz,Reputation|Reviews and Recommendations|Social Media,Reputation|Reviews and Recommendations|Social Media,failed,,2008-03-29,crunchbase
Antos,Boating Industry|Ride Sharing|Transportation,Boating Industry|Ride Sharing|Transportation,failed,,,crunchbase
AntWish Inc,Apps|Education|Mobile,Apps|Education|Mobile,failed,,2014-04-08,crunchbase
AOI Medical,Health Care,Health Care,failed,,2004-01-01,crunchbase
Apartama,DIY|Home Decor|Online Shopping,DIY|Home Decor|Online Shopping,failed,,,crunchbase
Apieron,Biotechnology|Health Care|Medical Devices,Biotechnology|Health Care|Medical Devices,failed,,2001-01-01,crunchbase
Apisphere,Advertising,Advertising,failed,,,crunchbase
Aplicor,Enterprise Software,Enterprise Software,failed,,2003-01-01,crunchbase
Apnex Medical,Health Care,Health Care,failed,,2006-01-01,crunchbase
ApogeeInvent,Design|E-Commerce|Internet|SEO|Software|Web Development,Design|E-Commerce|Internet|SEO|Software|Web Development,failed,,2004-01-01,crunchbase
App in the Air,Aerospace|Chat|Incentives|In-Flight Entertainment|iPhone|Mobile|Travel,Aerospace|Chat|Incentives|In-Flight Entertainment|iPhone|Mobile|Travel,failed,,2011-08-01,crunchbase
App55 Ltd,Finance Technology|FinTech|Mobile Payments|Payments,Finance Technology|FinTech|Mobile Payments|Payments,failed,,2011-01-01,crunchbase
Appature,Enterprise Software,Enterprise Software,failed,,2007-01-01,crunchbase
Appbistro,Developer APIs|Facebook Applications|Marketplaces|Mobile,Developer APIs|Facebook Applications|Marketplaces|Mobile,failed,,2010-02-17,crunchbase
appEatIT,Hospitality|Local Search|Online Reservations|Restaurants,Hospitality|Local Search|Online Reservations|Restaurants,failed,,2013-11-27,crunchbase
Appercode,Mobile|Software,Mobile|Software,failed,,2012-09-01,crunchbase
Appiny,iOS|iPhone|Mobile Commerce,iOS|iPhone|Mobile Commerce,failed,,,crunchbase
Appitiza,Application Platforms|Social Games|Social Network Media,Application Platforms|Social Games|Social Network Media,failed,,,crunchbase
Applica,Application Platforms|Colleges|Services,Application Platforms|Colleges|Services,failed,,2015-01-10,crunchbase
Applied Identity,Advertising,Advertising,failed,,2002-01-01,crunchbase
Applied Isotope Technologies,Hardware + Software,Hardware + Software,failed,,2003-01-01,crunchbase
Applied Quantum Technologies,Manufacturing,Manufacturing,failed,,2007-01-01,crunchbase
Apposphere,B2B|Cloud Data Services|CRM|Enterprise Application|SaaS|Small and Medium Businesses|Video Conferencing,B2B|Cloud Data Services|CRM|Enterprise Application|SaaS|Small and Medium Businesses|Video Conferencing,failed,,2015-05-01,crunchbase
Apprats,Apps|Celebrity|Facebook Applications|News|Video Streaming,Apps|Celebrity|Facebook Applications|News|Video Streaming,failed,,2009-01-01,crunchbase
Apprema,E-Commerce|Email|Payments,E-Commerce|Email|Payments,failed,,2007-08-23,crunchbase
Appscio,Apps|Open Source|Software,Apps|Open Source|Software,failed,,2006-01-01,crunchbase
appssavvy,Advertising,Advertising,failed,,2008-01-01,crunchbase
Apreso Classroom,All Students|EdTech|Education,All Students|EdTech|Education,failed,,,crunchbase
APT Pharmaceuticals,Biotechnology,Biotechnology,failed,,,crunchbase
apta.me,Business Services|E-Commerce,Business Services|E-Commerce,failed,,2011-05-01,crunchbase
APTwater,Clean Technology,Clean Technology,failed,,2009-01-01,crunchbase
Aquapharm Biodiscovery,Biotechnology,Biotechnology,failed,,2000-01-01,crunchbase
Aquest Systems,Semiconductors,Semiconductors,failed,,2004-01-01,crunchbase
Aquilium Software,Billing|Business Services|Financial Services,Billing|Business Services|Financial Services,failed,,,crunchbase
Arbor Surgical Technologies,Manufacturing|Medical|Medical Devices,Manufacturing|Medical|Medical Devices,failed,,2002-01-01,crunchbase
Arcadian Networks,Clean Technology,Clean Technology,failed,,,crunchbase
Archive,Apps|B2B|Service Providers,Apps|B2B|Service Providers,failed,,,crunchbase
Archr.io LLC,Audio|SaaS|Video,Audio|SaaS|Video,failed,,2015-03-01,crunchbase
Archway Health Holdings,Health and Wellness|Health Care|Services,Health and Wellness|Health Care|Services,failed,,,crunchbase
Arctic Diagnostics,Health Care|Health Diagnostics,Health Care|Health Diagnostics,failed,,,crunchbase
Arcwave,Computers|Network Security|Wireless,Computers|Network Security|Wireless,failed,,1999-01-01,crunchbase
Ardana Bioscience,Biotechnology,Biotechnology,failed,,,crunchbase
Ardext Technologies,Electronics|Software|Testing,Electronics|Software|Testing,failed,,,crunchbase
Arigami Semiconductor Systems Private,Semiconductors,Semiconductors,failed,,2008-01-01,crunchbase
AristaSoft Corporation,B2B|Business Services|Services,B2B|Business Services|Services,failed,,1999-06-01,crunchbase
Aristotle Health.,Apps|Health and Wellness|Mobile,Apps|Health and Wellness|Mobile,failed,,2015-02-04,crunchbase
Alaris,Hardware + Software,Hardware + Software,failed,,2009-01-01,crunchbase
BlogGlue,Advertising|Information Technology|Internet|Internet Marketing|Search|SEO,Advertising|Information Technology|Internet|Internet Marketing|Search|SEO,failed,,2009-04-04,crunchbase
